GiftDate,GiftAmount,GiftCode,ZipCode5,State,Gender,MaritalStatus,BirthYear,AgeAtGift,Age,Deceased
1/12/1970,100,6,46802,IN,Female,NULL,1925,45,93,1
4/6/1970,15000,6,55106,MN,Female,NULL,1902,68,116,1
4/28/1970,2300,6,63137,MO,Female,Married,1921,49,97,1
5/1/1970,1000,6,50630,IA,Female,NULL,1896,74,122,1
5/7/1970,8664.38,6,8723,NJ,Male,Married,1901,69,117,1
5/15/1970,300,6,28709,NC,Female,NULL,1932,38,86,0
6/3/1970,600,6,68862,NE,Female,NULL,1883,87,135,1
7/2/1970,200,6,63084,MO,Female,Widow,1913,57,105,1
8/1/1970,138833,5,NULL,LA,Female,NULL,NULL,NULL,NULL,1
8/3/1970,1000,6,49204,MI,Male,NULL,1918,52,100,1
9/1/1970,500,6,78028,TX,Male,Married,1924,46,94,1
11/13/1970,1000,6,32505,FL,Female,NULL,1902,68,116,1
12/31/1970,1000,6,49204,MI,Male,NULL,1918,52,100,1
1/4/1971,9435,6,8723,NJ,Male,Married,1901,70,117,1
1/8/1971,100,5,NULL,MI,Male,NULL,NULL,NULL,NULL,1
1/19/1971,200,6,NULL,OH,Female,NULL,1911,60,107,1
2/20/1971,10000,6,7042,NJ,Female,NULL,1892,79,126,1
7/19/1971,500,6,56091,MN,Female,NULL,1900,71,118,1
7/21/1971,3000,10,82601,WY,Male,NULL,1911,60,107,1
8/9/1971,100,6,14057,NY,Male,Married,1912,59,106,1
8/12/1971,1000,6,84765,UT,Male,Widow,1924,47,94,1
8/27/1971,500,10,39466,MS,Male,NULL,1917,54,101,1
10/26/1971,3000,10,82601,WY,Male,NULL,1911,60,107,1
11/2/1971,1000,6,49204,MI,Male,NULL,1918,53,100,1
3/3/1972,200,6,63084,MO,Female,Widow,1913,59,105,1
3/8/1972,20000,6,91803,CA,Male,Widowed,1898,74,120,1
5/3/1972,1000,6,62650,IL,Female,NULL,1892,80,126,1
6/27/1972,5000,10,82601,WY,Male,NULL,1911,61,107,1
12/1/1972,115000,5,NULL,NE,Male,NULL,NULL,NULL,NULL,1
12/8/1972,500,10,53035,WI,Female,NULL,1937,35,81,0
12/14/1972,2000,6,61201,IL,Female,Widow,1912,60,106,1
12/29/1972,100,6,46802,IN,Female,NULL,1925,47,93,1
12/31/1972,2000,6,49204,MI,Male,NULL,1918,54,100,1
1/31/1973,10000,6,68956,NE,Male,NULL,1903,70,115,1
2/12/1973,1000,6,84765,UT,Male,Widow,1924,49,94,1
7/3/1973,500,6,86314,AZ,Female,Widowed,1904,69,114,1
7/11/1973,65000,5,NULL,PA,Male,NULL,NULL,NULL,NULL,1
7/13/1973,10000,6,48879,MI,Female,Widowed,1892,81,126,1
8/6/1973,1000,10,46552,IN,Male,Married,1910,63,108,1
11/8/1973,3000,6,68510,NE,Male,Married,1898,75,120,1
11/20/1973,45000,12,NULL,MO,Male,NULL,NULL,NULL,NULL,1
12/5/1973,2500,6,55395,MN,Female,NULL,1902,71,116,1
12/12/1973,1000,10,53022,WI,Male,Married,1930,43,88,1
12/20/1973,100,7,56296,MN,Male,NULL,1919,54,99,1
12/31/1973,2000,6,49204,MI,Male,NULL,1918,55,100,1
1/14/1974,1000,6,46350,IN,Male,Married,1886,88,132,1
4/1/1974,70000,5,98682,WA,Male,NULL,NULL,NULL,NULL,1
4/15/1974,7000,6,60194,IL,Female,NULL,1900,74,118,1
4/30/1974,1000,10,60008,IL,Male,NULL,1951,23,67,0
5/10/1974,10000,6,50595,IA,Female,NULL,1900,74,118,1
5/13/1974,1000,6,97470,OR,Male,Married,1912,62,106,1
7/31/1974,1000,10,46322,IN,Male,NULL,1887,87,131,1
8/12/1974,500,10,64020,MO,Female,NULL,1898,76,120,1
8/13/1974,5000,10,56567,MN,Female,NULL,1909,65,109,1
10/10/1974,28000,6,55409,MN,Male,NULL,1901,73,117,1
10/15/1974,1000,10,53035,WI,Female,NULL,1937,37,81,0
11/14/1974,300,6,63084,MO,Female,Widow,1913,61,105,1
12/19/1974,1000,6,84765,UT,Male,Widow,1924,50,94,1
12/30/1974,5000,6,46835,IN,Male,Married,1908,66,110,1
12/30/1974,4000,6,48846,MI,Female,NULL,1894,80,124,1
12/31/1974,5000,6,49204,MI,Male,NULL,1918,56,100,1
1/1/1975,300000,5,NULL,IL,Male,Single,NULL,NULL,NULL,1
1/6/1975,1000,6,46350,IN,Male,Married,1886,89,132,1
1/10/1975,1000,6,68467,NE,Female,NULL,1909,66,109,1
1/31/1975,1000,10,53035,WI,Female,NULL,1937,38,81,0
2/15/1975,10000,10,18974,PA,Male,Married,1929,46,89,0
5/6/1975,1000,6,22407,VA,Male,NULL,1944,31,74,0
5/7/1975,8000,6,32757,FL,Male,NULL,1905,70,113,1
6/30/1975,1000,10,64020,MO,Female,NULL,1921,54,97,1
6/30/1975,2000,10,53525,WI,Male,NULL,1902,73,116,1
6/30/1975,3000,6,67432,KS,Male,Married,1905,70,113,1
8/11/1975,5000,10,49204,MI,Male,NULL,1918,57,100,1
8/13/1975,2000,6,48846,MI,Female,NULL,1894,81,124,1
9/22/1975,3760,5,68601,NE,Female,NULL,1912,63,106,1
9/24/1975,1000,10,53035,WI,Female,NULL,1937,38,81,0
11/25/1975,1000,10,64020,MO,Female,NULL,1921,54,97,1
1/30/1976,8000,10,33843,FL,Female,NULL,1911,65,107,1
1/30/1976,8000,10,33843,FL,Female,NULL,1911,65,107,1
3/18/1976,5275.13,10,33408,FL,Male,Married,1921,55,97,1
4/9/1976,1000,6,86314,AZ,Female,Widowed,1904,72,114,1
8/10/1976,1000,6,60013,IL,Male,Married,1896,80,122,1
8/11/1976,5000,10,56567,MN,Female,NULL,1909,67,109,1
8/12/1976,8000,6,32757,FL,Male,NULL,1905,71,113,1
8/23/1976,1000,10,58501,ND,Male,NULL,1893,83,125,1
10/28/1976,1000,10,53035,WI,Female,NULL,1937,39,81,0
11/15/1976,10000,6,48879,MI,Female,Widowed,1892,84,126,1
11/23/1976,5000,6,80033,CO,Female,NULL,1902,74,116,1
12/3/1976,45500,5,58054,ND,Male,NULL,1915,61,103,1
12/3/1976,1050,5,58054,ND,Male,NULL,1915,61,103,1
12/3/1976,2450,5,58054,ND,Male,NULL,1915,61,103,1
12/8/1976,1000,6,68803,NE,Female,NULL,1901,75,117,1
12/13/1976,1000,6,68601,NE,Female,NULL,1904,72,114,1
12/16/1976,1000,6,86314,AZ,Female,Widowed,1904,72,114,1
12/21/1976,20000,6,48734,MI,Female,Married,1902,74,116,1
12/27/1976,1000,6,49204,MI,Male,NULL,1918,58,100,1
12/27/1976,9000,10,82601,WY,Male,NULL,1911,65,107,1
1/12/1977,400,6,46816,IN,Female,NULL,1901,76,117,1
1/18/1977,500,10,67801,KS,Male,Married,1916,61,102,1
1/26/1977,2500,10,64020,MO,Female,NULL,1921,56,97,1
2/16/1977,12721.08,6,33704,FL,Female,NULL,1896,81,122,1
2/28/1977,1000,10,53035,WI,Female,NULL,1937,40,81,0
3/9/1977,4000,10,68453,NE,Male,Widow,1924,53,94,0
3/22/1977,1000,10,64020,MO,Female,NULL,1921,56,97,1
3/26/1977,6542,5,32727,FL,Female,Married,1918,59,100,1
3/29/1977,20934,5,32727,FL,Female,Married,1918,59,100,1
4/22/1977,500,10,48043,MI,Female,Widowed,1908,69,110,1
4/22/1977,500,10,48043,MI,Female,Widowed,1908,69,110,1
4/22/1977,500,10,48043,MI,Female,Widowed,1908,69,110,1
5/6/1977,5000,6,80033,CO,Female,NULL,1902,75,116,1
7/7/1977,183061.6,5,80525,CO,Male,Married,1911,66,107,1
8/12/1977,2000,10,99301,WA,Female,NULL,1922,55,96,1
8/15/1977,1000,6,85252,AZ,Female,Widowed,1902,75,116,1
10/6/1977,2000,10,64020,MO,Female,NULL,1898,79,120,1
11/14/1977,2000,6,49204,MI,Male,NULL,1918,59,100,1
12/15/1977,1000,6,60013,IL,Male,Married,1896,81,122,1
12/15/1977,44250,4,33462,FL,Male,Married,1927,50,91,0
12/22/1977,10000,6,48734,MI,Female,Married,1902,75,116,1
12/28/1977,5000,6,82601,WY,Male,NULL,1911,66,107,1
1/13/1978,33500,6,67432,KS,Male,Married,1905,73,113,1
1/13/1978,33500,6,67432,KS,Male,Married,1905,73,113,1
1/25/1978,500,10,32502,FL,Female,NULL,1920,58,98,1
1/31/1978,235.42,10,39466,MS,Male,NULL,1917,61,101,1
1/31/1978,5567.8,10,62651,IL,Female,NULL,1914,64,104,1
2/17/1978,153325,5,68869,NE,Male,NULL,1924,54,94,1
